Array Element	Locus Identifier	Annotation
A_84_P11233	AT1G33050	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G10470.1)
A_84_P764352	AT4G06686	transposable element gene
A_84_P101806	AT5G43960	nuclear transport factor 2 (NTF2) family protein / RNA recognition motif (RRM)-containing protein
A_84_P787387	AT4G29550	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G20620.1); contains InterPro domain Protein of unknown function DUF626, Arabidopsis thaliana (InterPro:IPR006462)"
A_84_P576786	AT3G43580	beta-galactosidase
A_84_P17085	AT1G05650	"polygalacturonase, putative / pectinase, putative"
A_84_P18519	AT4G08990	"DNA (cytosine-5-)-methyltransferase, putative"
A_84_P870348	AT2G41100	TCH3 (TOUCH 3)
A_84_P800757	AT5G64260	"phosphate-responsive protein, putative"
A_84_P160433	AT3G57586	transposable element gene
A_84_P20568	AT5G08560	transducin family protein / WD-40 repeat family protein
A_84_P850432	AT4G10300	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G04300.1); similar to unknown [Populus trichocarpa] (GB:ABK95374.1); contains InterPro domain RmlC-like jelly roll fold (InterPro:IPR014710); contains InterPro domain Protein of unknown function DUF861, cupin-3 (InterPro:IPR008579); contains InterPro domain Cupin, RmlC-type (InterPro:IPR011051)"
A_84_P755705	AT2G17560	HMGB4 (HIGH MOBILITY GROUP B 4); transcription factor
A_84_P555274	AT2G26130	zinc finger (C3HC4-type RING finger) family protein
A_84_P814251	AT3G59970	MTHFR1 (METHYLENETETRAHYDROFOLATE REDUCTASE 1); methylenetetrahydrofolate reductase (NADPH)
A_84_P12033	AT5G01780	"oxidoreductase, 2OG-Fe(II) oxygenase family protein"
A_84_P770325	ATMG00400	hypothetical protein
A_84_P836445	AT3G02890	PHD finger protein-related
A_84_P849379	AT5G08780	histone H1/H5 family protein
A_84_P16073	AT1G23250	caleosin-related
A_84_P135535	AT2G35480	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G32260.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO63339.1)
A_84_P224369	AT5G65490	Identical to SGT1 protein homolog At5g65490 [Arabidopsis Thaliana] (GB:Q9LSM5); similar to hypothetical protein [Vitis vinifera] (GB:CAN64607.1); contains InterPro domain SGT1 (InterPro:IPR010770)
A_84_P128381	AT4G20480	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G06810.1); similar to Os07g0637200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060400.1); similar to hypothetical protein OsI_026076 [Oryza sativa (indica cultivar-group)] (GB:EAZ04844.1); contains InterPro domain Protein of unknown function DUF537 (InterPro:IPR007491)
A_84_P859502	AT4G12730	FLA2
A_84_P10911	AT3G59510	leucine-rich repeat family protein
A_84_P860885	AT2G05540	glycine-rich protein
A_84_P848432	AT3G47620	"TCP family transcription factor, putative"
A_84_P18206	AT2G43130	ARA4 (Arabidopsis Rab GTPase homolog A5c); GTP binding
A_84_P17768	AT5G24850	CRY3 (CRYPTOCHROME 3); DNA binding / DNA photolyase/ FMN binding
A_84_P505636	AT2G26810	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G26200.1); similar to Os07g0641600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060430.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO67268.1); contains domain METHYLTRANSFERASE-RELATED (PTHR23108); contains domain no description (G3DSA:3.40.50.150); contains domain S-adenosyl-L-methionine-dependent methyltransferases (SSF53335)
A_84_P831247	AT5G43520	DC1 domain-containing protein
A_84_P762027	AT3G29195	unknown protein
A_84_P515512	AT3G11380	pentatricopeptide (PPR) repeat-containing protein
A_84_P244395	AT5G16380	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G07470.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO22944.1); contains InterPro domain Protein of unknown function DUF538 (InterPro:IPR007493)
A_84_P251365	AT3G29830	F-box family protein
A_84_P829187	AT2G31890	similar to hypothetical protein [Vitis vinifera] (GB:CAN78554.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO46382.1); contains InterPro domain RAP domain (InterPro:IPR013584)
A_84_P819622	AT5G14540	proline-rich family protein
A_84_P11332	AT1G17615	"disease resistance protein (TIR-NBS class), putative"
A_84_P565389	AT4G36460	unknown protein
A_84_P11442	AT1G22610	C2 domain-containing protein
A_84_P569745	AT4G08395	unknown protein
A_84_P21339	AT4G01920	DC1 domain-containing protein
A_84_P17005	AT1G71500	Rieske (2Fe-2S) domain-containing protein
A_84_P202848	AT2G30710	RabGAP/TBC domain-containing protein
A_84_P227509	AT2G44430	DNA-binding bromodomain-containing protein
A_84_P594594	AT3G22415	unknown protein
A_84_P573314	AT4G02405	similar to unnamed protein product [Vitis vinifera] (GB:CAO40030.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN68023.1); contains domain S-adenosyl-L-methionine-dependent methyltransferases (SSF53335)
A_84_P11203	AT5G46650	zinc finger (C3HC4-type RING finger) family protein
A_84_P16210	AT1G63940	"monodehydroascorbate reductase, putative"
A_84_P20477	AT4G28670	protein kinase family protein
A_84_P509274	AT3G06545	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G11060.1)
A_84_P759011	AT3G20083;AT3G20080	"[AT3G20083, a member of A-type cytochrome P450];[AT3G20080, CYP705A15 (cytochrome P450, family 705, subfamily A, polypeptide 15); oxygen binding]"
A_84_P844417	AT2G43410	FPA; RNA binding
A_84_P23899	AT2G29500	17.6 kDa class I small heat shock protein (HSP17.6B-CI)
A_84_P835955	AT5G64300	"ATGCH (ARABIDOPSIS THALIANA GTP CYCLOHYDROLASE II); 3,4-dihydroxy-2-butanone-4-phosphate synthase/ GTP cyclohydrolase II"
A_84_P21684	AT5G67200	"leucine-rich repeat transmembrane protein kinase, putative"
A_84_P534390	AT4G37740	AtGRF2 (GROWTHREGULATING FACTOR 2)
A_84_P18780	AT5G50120	transducin family protein / WD-40 repeat family protein
A_84_P848113	AT4G15780	ATVAMP724 (Arabidopsis thaliana vesicle-associated membrane protein 724)
A_84_P763993	AT4G00840	zinc ion binding
A_84_P16603	AT4G00150	scarecrow-like transcription factor 6 (SCL6)
A_84_P22140	AT3G23250	AtMYB15/AtY19/MYB15 (myb domain protein 15); DNA binding / transcription factor
A_84_P837216	AT3G50100	exonuclease
A_84_P860044	AT3G21720	"isocitrate lyase, putative"
A_84_P833873	AT3G56630	"CYP94D2 (cytochrome P450, family 94, subfamily D, polypeptide 2); oxygen binding"
A_84_P799156	AT2G11650	transposable element gene
A_84_P11314	AT2G17770	ATBZIP27/FDP (FD PARALOG); transcription factor
A_84_P11757	AT3G16430	jacalin lectin family protein
A_84_P15975	AT5G59450	scarecrow-like transcription factor 11 (SCL11)
A_84_P19947	AT1G77910	unknown protein
A_84_P753032	AT1G64585	DVL12/RTFL22 (ROTUNDIFOLIA LIKE 22)
A_84_P830778	AT5G14140	zinc finger (C2H2 type) family protein
A_84_P580606	AT5G22490	condensation domain-containing protein
A_84_P12473	AT1G76140	prolyl oligopeptidase
A_84_P787690	AT1G79950	helicase-related
A_84_P855507	AT4G02060	PRL (PROLIFERA); ATP binding / DNA binding / DNA-dependent ATPase
A_84_P764453	AT4G01650	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G08720.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO40206.1); contains InterPro domain Streptomyces cyclase/dehydrase (InterPro:IPR005031)
A_84_P766460	AT5G34848	"pseudogene, hypothetical protein"
A_84_P190634	AT4G33130	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G13000.2); similar to transcription factor [Arabidopsis thaliana] (TAIR:AT3G13000.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO65161.1)
A_84_P172991	AT3G05170	phosphoglycerate/bisphosphoglycerate mutase family protein
A_84_P579298	AT2G31840	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G28590.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN75809.1); contains InterPro domain Thioredoxin-like fold (InterPro:IPR012336)
A_84_P23919	AT2G35980	YLS9 (YELLOW-LEAF-SPECIFIC GENE 9)
A_84_P17289	AT2G02470	PHD finger family protein
A_84_P13051	AT5G27840	TOPP8 (Type one serine/threonine protein phosphatase 8); protein serine/threonine phosphatase
A_84_P755653	AT2G02260	transposable element gene
A_84_P15956	AT5G54270	LHCB3 (LIGHT-HARVESTING CHLOROPHYLL BINDING PROTEIN 3)
A_84_P236753	AT1G75170	SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
A_84_P849266	AT5G20120	similar to unnamed protein product [Vitis vinifera] (GB:CAO65640.1)
A_84_P230579	AT3G57070	glutaredoxin family protein
A_84_P14849	AT1G27150	binding
A_84_P223799	AT5G22100	RNA cyclase family protein
A_84_P21263	AT3G48010	ATCNGC16 (cyclic nucleotide gated channel 16); calmodulin binding / cyclic nucleotide binding / ion channel
A_84_P532304	AT2G43990	similar to unnamed protein product [Vitis vinifera] (GB:CAO46373.1)
A_84_P583062	AT3G52330	F-box family protein-related
A_84_P54830	AT1G53770	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G17270.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G50420.1); similar to Os07g0572600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060060.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN80219.1); contains domain PTHR13398 (PTHR13398)
A_84_P760552	AT3G23900	RNA recognition motif (RRM)-containing protein
A_84_P568790	AT3G54450	transporter
A_84_P556555	AT5G02490	heat shock cognate 70 kDa protein 2 (HSC70-2) (HSP70-2)
A_84_P826417	AT5G24110	WRKY30 (WRKY DNA-binding protein 30); transcription factor
A_84_P785642	AT2G15690	pentatricopeptide (PPR) repeat-containing protein
A_84_P69054	AT2G20130	LCV1 (LIKE COV 1)
A_84_P19046	AT1G69920	ATGSTU12 (Arabidopsis thaliana Glutathione S-transferase (class tau) 12); glutathione transferase
A_84_P15948	AT5G51900	cytochrome P450 family
A_84_P11892	AT4G04620	ATG8B (AUTOPHAGY 8B); microtubule binding
A_84_P857943	AT3G55770	LIM domain-containing protein
A_84_P13097	AT5G47710	C2 domain-containing protein
A_84_P763798	AT4G36190	serine-type peptidase
A_84_P588958	AT1G63630	pentatricopeptide (PPR) repeat-containing protein
A_84_P166843	AT5G35753	"similar to DNAJ heat shock N-terminal domain-containing protein [Arabidopsis thaliana] (TAIR:AT2G05230.1); similar to DNAJ heat shock N-terminal domain-containing protein [Arabidopsis thaliana] (TAIR:AT2G05250.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN67351.1); contains InterPro domain Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609)"
A_84_P12681	AT3G20820	leucine-rich repeat family protein
A_84_P510160	AT3G03240	esterase/lipase/thioesterase family protein
A_84_P15920	AT5G44480	DUR (DEFECTIVE UGE IN ROOT); catalytic
A_84_P785346	AT1G01550	BPS1 (BYPASS 1)
A_84_P819314	AT1G65290	MTACP2 (MITOCHONDRIAL ACYL CARRIER PROTEIN 2); acyl carrier
A_84_P16741	AT4G14420	lesion inducing protein-related
A_84_P811081	AT3G17770	dihydroxyacetone kinase family protein
A_84_P767364	AT5G33350	"pseudogene, similar to P0406H10.5, nucleoid DNA-binding protein cnd41, chloroplast - Nicotiana tabacum, PIR:T01996; blastp match of 37% identity and 1.5e-57 P-value to GP|9711879|dbj|BAB07973.1||AP002524 P0406H10.5 {Oryza sativa (japonica cultivar-group)}"
A_84_P768022	AT5G06043	unknown protein
A_84_P120852	AT4G13345	MEE55 (maternal effect embryo arrest 55)
A_84_P18917	AT1G23820	SPDS1 (SPERMIDINE SYNTHASE 1)
A_84_P19839	AT1G35513	pseudogene of isochorismate synthase-related / isochorismate mutase-related
A_84_P133525	AT3G49780	ATPSK4 (PHYTOSULFOKINE 4 PRECURSOR); growth factor
A_84_P828124	AT1G72360	"ethylene-responsive element-binding protein, putative"
A_84_P601436	AT1G61080	proline-rich family protein
A_84_P15534	AT3G21900	receptor-like protein kinase-related
A_84_P23827	AT1G64800	unknown protein
A_84_P140639	AT5G37210	DC1 domain-containing protein
A_84_P758068	AT2G26355	other RNA
A_84_P809207	AT2G37040	PAL1 (PHE AMMONIA LYASE 1); phenylalanine ammonia-lyase
A_84_P857417	AT4G03710	transposable element gene
A_84_P16605	AT4G00870	basic helix-loop-helix (bHLH) family protein
A_84_P841535	AT3G20790	oxidoreductase family protein
A_84_P786853	AT1G15150;AT1G15170;AT1G15160;AT1G15180	"[AT1G15150, MATE efflux family protein];[AT1G15170, MATE efflux family protein];[AT1G15160, MATE efflux family protein];[AT1G15180, MATE efflux family protein]"
A_84_P759477	AT3G12143	"pseudogene, similar to polygalacturonase-inhibitor protein, blastp match of 53% identity and 7.5e-64 P-value to GP|18148923|dbj|BAB83520.1||AB064545 polygalacturonase-inhibitor protein {Citrus sp. cv. Sainumphung}"
A_84_P785200	AT1G73805	calmodulin binding
A_84_P15042	AT5G62090	"similar to SLK1 (SEUSS-LIKE 1), transcription regulator [Arabidopsis thaliana] (TAIR:AT4G25520.1); similar to SEU1 protein [Antirrhinum majus] (GB:CAF18247.1)"
A_84_P764086	AT4G06694	transposable element gene
A_84_P551175	AT4G27415	unknown protein
A_84_P531612	AT4G04745	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G21902.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN76789.1)
A_84_P602531	AT2G46880	ATPAP14/PAP14; acid phosphatase/ protein serine/threonine phosphatase
A_84_P546692	AT4G03410	peroxisomal membrane protein-related
A_84_P828028	AT2G14690	"endo-1,4-beta-xylanase/ hydrolase, hydrolyzing O-glycosyl compounds"
A_84_P808288	AT5G59910	HTB4; DNA binding
A_84_P16831	AT5G27420	zinc finger (C3HC4-type RING finger) family protein
A_84_P759381	AT3G42386	transposable element gene
A_84_P830000	AT3G53340	transcription factor
A_84_P23698	AT1G22690	"gibberellin-responsive protein, putative"
A_84_P750198	AT1G65875	"pseudogene, similar to EST AU070346(S12172) corresponds to a region of the predicted gene.~similar to AMP-binding protein. (X94625), blastp match of 57% identity and 4.5e-137 P-value to GP|6063549|dbj|BAA85409.1||AP000615 EST AU070346(S12172) corresponds to a region of the predicted gene.~similar to AMP-binding protein. (X94625) {Oryza sativa (japonica cultivar-group)}"
A_84_P23391	AT1G62840;AT1G62850	"[AT1G62840, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G12320.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO24498.1); contains InterPro domain Protein of unknown function DUF1442 (InterPro:IPR009902)];[AT1G62850, translation release factor]"
A_84_P764848	AT4G08028	Encodes a defensin-like (DEFL) family protein.
A_84_P55120	AT2G26060	EMB1345 (EMBRYO DEFECTIVE 1345); nucleotide binding
A_84_P237963	AT1G23260	MMZ1/UEV1A (MMS ZWEI HOMOLOGE 1); protein binding / ubiquitin-protein ligase
A_84_P767990	AT5G22791	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G43550.1); contains InterPro domain F-box associated type 3 (InterPro:IPR013187); contains InterPro domain F-box associated type 1 (InterPro:IPR006527)
A_84_P23584	AT5G16830	SYP21 (syntaxin 21); SNAP receptor
A_84_P563929	AT1G21390	EMB2170 (EMBRYO DEFECTIVE 2170)
A_84_P21067	AT2G27530	60S ribosomal protein L10A (RPL10aB)
A_84_P752703	AT1G48742	MIR157D; miRNA
A_84_P287270	AT5G03160	DNAJ heat shock N-terminal domain-containing protein
A_84_P11647	AT2G18510	EMB2444 (EMBRYO DEFECTIVE 2444); RNA binding
A_84_P784647	AT5G09920	RPB15.9 (RNA polymerase II 15.9)
A_84_P768351	AT5G49410	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G73940.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48310.1)
A_84_P810552	AT3G48360	BT2 (BTB AND TAZ DOMAIN PROTEIN 2); protein binding / transcription factor/ transcription regulator
A_84_P766269	AT5G27037	"pseudogene, hypothetical protein"
A_84_P64884	AT5G51150	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G34630.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO62239.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN70133.1); contains domain PTHR12459 (PTHR12459)
A_84_P566510	AT2G36560	DNA-binding protein-related
A_84_P15058	AT5G66160	JR700 (Arabidopsis thaliana receptor homology region transmembrane domain ring H2 motif protein 1); peptidase/ protein binding / zinc ion binding
A_84_P22767	AT1G64900	CYP89A2 (CYTOCHROME P450 89A2); oxygen binding
A_84_P833377	AT3G23710	"chloroplast inner membrane import protein Tic22, putative"
A_84_P136105	AT3G14360	lipase class 3 family protein
A_84_P786542	AT3G53500	RSZ32; nucleic acid binding
A_84_P766186	AT5G28662	transposable element gene
A_84_P13025	AT5G17720	"hydrolase, alpha/beta fold family protein"
A_84_P237933	AT4G35295	"homoserine kinase, putative / HSK, putative"
A_84_P17784	AT5G36210	serine-type peptidase
A_84_P22824	AT1G48760	DELTA-ADR (DELTA-ADAPTIN); clathrin binding
A_84_P21581	AT5G40290	metal-dependent phosphohydrolase HD domain-containing protein
A_84_P22709	AT1G64520	RPN12A (REGULATORY PARTICLE NON-ATPASE 12A); peptidase
A_84_P813024	AT5G07560	GRP20 (Glycine rich protein 20); nutrient reservoir
A_84_P16386	AT2G01840	transposable element gene
A_84_P793132	AT1G62660	"beta-fructosidase (BFRUCT3) / beta-fructofuranosidase / invertase, vacuolar"
A_84_P808198	AT1G70830	MLP28 (MLP-LIKE PROTEIN 28)
A_84_P12316	AT1G24110	"peroxidase, putative"
A_84_P22903	AT1G63450	catalytic
A_84_P525605	AT5G33303	transposable element gene
A_84_P11706	AT3G05830	Encodes alpha-helical IF (intermediate filament)-like protein.
A_84_P18625	AT4G38670	pathogenesis-related thaumatin family protein
A_84_P15504	AT3G15990	SULTR3;4; sulfate transmembrane transporter
A_84_P768330	AT5G11510	"MYB3R-4 (C-MYB-LIKE TRANSCRIPTION FACTOR 3R-4, myb domain protein 3R-4); DNA binding / transcription coactivator/ transcription factor"
A_84_P611873	AT5G52700	heavy-metal-associated domain-containing protein
A_84_P12524	AT2G17170	protein kinase family protein
A_84_P12916	AT4G29640	"cytidine deaminase, putative / cytidine aminohydrolase, putative"
A_84_P582075	AT3G14170	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G08760.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45580.1); contains InterPro domain Protein of unknown function DUF936, plant (InterPro:IPR010341)"
A_84_P13587	AT3G10010	"DML2 (DEMETER-LIKE 2); 4 iron, 4 sulfur cluster binding / catalytic/ endonuclease"
A_84_P750263	AT1G17230	protein binding / protein kinase
A_84_P15108	AT1G23205	invertase/pectin methylesterase inhibitor family protein
A_84_P199774	AT1G15980	similar to unnamed protein product [Vitis vinifera] (GB:CAO49411.1); contains domain G3DSA:3.40.50.2000 (G3DSA:3.40.50.2000); contains domain SSF53756 (SSF53756)
A_84_P766141	AT5G30440	transposable element gene
A_84_P138519	AT3G27220	kelch repeat-containing protein
A_84_P15873	AT5G23900	60S ribosomal protein L13 (RPL13D)
A_84_P18490	AT3G63280	ATNEK4; kinase
A_84_P753814	AT1G80555	"3-isopropylmalate dehydrogenase/ oxidoreductase, acting on the CH-OH group of donors, NAD or NADP as acceptor"
A_84_P812703	AT4G01050	hydroxyproline-rich glycoprotein family protein
A_84_P93219	AT3G28415	"P-glycoprotein, putative"
A_84_P149308	AT3G17330	ECT6 (evolutionarily conserved C-terminal region 6)
A_84_P16425	AT3G06350	EMB3004/MEE32 (EMBRYO DEFECTIVE 3004); 3-dehydroquinate dehydratase/ NADP binding / binding / catalytic/ shikimate 5-dehydrogenase
