Array Element,Annotation
250709_at,LBD33 (LOB DOMAIN-CONTAINING PROTEIN 33)
255315_at,transposable element gene
246030_at,L-ascorbate oxidase/ copper ion binding
245467_at,zinc finger (C2H2 type) family protein
258533_at,binding
257765_at,pentatricopeptide (PPR) repeat-containing protein
250035_at,transcription regulator NOT2/ NOT3/ NOT5 family protein
246996_at,LBD37 (LOB DOMAIN-CONTAINING PROTEIN 37)
250829_at,ADR1-L2 (ADR1-LIKE 2); ATP binding / nucleoside-triphosphatase/ nucleotide binding / protein binding
265298_s_at,[AT3G27327_ transposable element gene];[AT2G13930_ transposable element gene]
262377_at,ribulose bisphosphate carboxylase/oxygenase activase_ putative / RuBisCO activase_ putative
257424_at,F-box family protein
267058_at,MAPKKK17 (Mitogen-activated protein kinase kinase kinase 17); kinase
252622_at,cysteine proteinase_ putative
266680_s_at,[AT3G54730_ similar to ATOFP9/OFP9 (Arabidopsis thaliana ovate family protein 9) [Arabidopsis thaliana] (TAIR:AT4G04030.1)];[AT2G19850_ similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G54730.1)]
249155_at,unknown protein
249079_at,transducin family protein / WD-40 repeat family protein
246227_at,unknown protein
257687_at,short-chain dehydrogenase/reductase (SDR) family protein
250734_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G11600.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO15841.1)
258443_at,no_match
264933_at,contains InterPro domain Retrotransposon gag protein (InterPro:IPR005162)
261098_at,DNAJ heat shock N-terminal domain-containing protein
246627_s_at,[AT2G45300_ 3-phosphoshikimate 1-carboxyvinyltransferase / 5-enolpyruvylshikimate-3-phosphate / EPSP synthase];[AT1G48860_ 3-phosphoshikimate 1-carboxyvinyltransferase_ putative / 5-enolpyruvylshikimate-3-phosphate_ putative / EPSP synthase_ putative]
247522_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G26650.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN78131.1)
265944_at,ASHR2 (ASH1-RELATED PROTEIN 2)
256932_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G14840.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71183.1)
252506_at,ATUTR5/UTR5 (UDP-GALACTOSE TRANSPORTER 5); galactose transmembrane transporter
258066_at,pentatricopeptide (PPR) repeat-containing protein
267077_at,myb family transcription factor
254188_at,UGE2 (UDP-D-GLUCOSE/UDP-D-GALACTOSE 4-EPIMERASE 2); UDP-glucose 4-epimerase/ protein dimerization
251662_at,eukaryotic rpb5 RNA polymerase subunit family protein
259832_at,transcription factor
263262_at,tumor susceptibility protein-related
249287_at,exostosin family protein
262017_at,elongation factor Tu C-terminal domain-containing protein
256064_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO21378.1)
260461_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G61670.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41520.1); contains InterPro domain Transmembrane receptor_ eukaryota; (InterPro:IPR009637)
260800_at,TSD2 (TUMOROUS SHOOT DEVELOPMENT 2); methyltransferase
258427_at,SNF2 domain-containing protein / helicase domain-containing protein / RING finger domain-containing protein
246526_at,GLIP7 (GDSL-motif lipase 7); carboxylesterase
248838_at,BOU (A BOUT DE SOUFFLE); binding
266791_at,zinc finger (C3HC4-type RING finger) family protein
245809_at,XF1 (SQUALENE EPOXIDASE 1); oxidoreductase
245273_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G05360.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71145.1); contains domain PTHR10281:SF1 (PTHR10281:SF1); contains domain PTHR10281 (PTHR10281)
245395_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G47420.1); similar to hypothetical protein 31.t00054 [Brassica oleracea] (GB:ABD65092.1); contains InterPro domain Protein of unknown function DUF124 (InterPro:IPR002838); contains InterPro domain Tryptophan RNA-binding attenuator protein-like (InterPro:IPR016031)
264848_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN62847.1)
252488_at,UDP-glycosyltransferase/ transferase_ transferring glycosyl groups
248593_at,pectinesterase family protein
264729_at,heavy-metal-associated domain-containing protein / copper chaperone (CCH)-related
262861_at,MATE efflux family protein
267505_at,CYP76C1 (cytochrome P450_ family 76_ subfamily C_ polypeptide 1); heme binding / iron ion binding / monooxygenase
266750_s_at,[AT2G47040_ VGD1 (VANGUARD1); pectinesterase];[AT2G47030_ VGDH1; pectinesterase]
262679_at,LCR67/PDF1.1 (Low-molecular-weight cysteine-rich 67)
265972_at,transposable element gene
266970_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN69364.1); contains domain PROKAR_LIPOPROTEIN (PS51257)
260536_at,ETFQO (ELECTRON-TRANSFER FLAVOPROTEIN:UBIQUINONE OXIDOREDUCTASE); catalytic/ electron acceptor
257504_at,dynein light chain type 1 family protein
264344_at,aspartyl protease family protein
247416_at,40S ribosomal protein S15_ putative
257383_at,F-box family protein
257293_at,APG8H/ATG8I (AUTOPHAGY 8H); APG8 activating enzyme/ APG8 conjugating enzyme/ APG8-specific protease/ microtubule binding
251095_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G45890.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO15814.1); contains InterPro domain Protein of unknown function DUF647 (InterPro:IPR006968)
256285_at,similar to At3g12510-like protein [Boechera stricta] (GB:ABB89768.1); contains domain PTHR11945 (PTHR11945); contains domain PTHR11945:SF13 (PTHR11945:SF13)
257250_at,myb family transcription factor
256102_at,phospholipase C
248306_at,WRKY27 (WRKY DNA-binding protein 27); transcription factor
267448_at,protein phosphatase 2C_ putative / PP2C_ putative
265369_s_at,[AT2G06470_ transposable element gene];[AT4G16910_ transposable element gene];[AT5G29075_ transposable element gene];[AT2G12930_ transposable element gene];[AT3G29615_ transposable element gene];[AT2G01026_ transposable element gene];[AT3G30413_ transposable element gene];[AT2G01024_ transposable element gene];[AT5G30102_ transposable element gene];[AT2G10780_ transposable element gene];[AT2G01034_ transposable element gene];[AT4G03840_ transposable element gene];[AT3G42996_ transposable element gene];[AT2G07660_ transposable element gene]
259352_at,phosphoglycerate/bisphosphoglycerate mutase family protein
264828_at,AtATG18g (Arabidopsis thaliana homolog of yeast autophagy 18 (ATG18) g)
262579_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO62706.1)
261934_at,ATUGT85A1/UGT85A1 (UDP-GLUCOSYL TRANSFERASE 85A1); UDP-glycosyltransferase/ glucuronosyltransferase/ transferase_ transferring glycosyl groups / transferase_ transferring hexosyl groups
261782_at,high mobility group (HMG1/2) family protein / ARID/BRIGHT DNA-binding domain-containing protein
245799_at,leucine-rich repeat family protein
256248_at,fip1 motif-containing protein
253030_at,FRS5 (FAR1-RELATED SEQUENCE 5); zinc ion binding
261148_at,GAMMA CA1 (GAMMA CARBONIC ANHYDRASE 1); carbonate dehydratase
248440_at,acid phosphatase_ putative
262908_at,AT-E1 ALPHA (pyruvate dehydrogenase complex E1 alpha subunit); pyruvate dehydrogenase (acetyl-transferring)
257840_at,AGC2-1 (OXIDATIVE SIGNAL-INDUCIBLE1); kinase
264871_at,IAR4 (IAA-conjugate-resistant 4); pyruvate dehydrogenase (acetyl-transferring)
261077_at,protein phosphatase 2C_ putative / PP2C_ putative
265590_at,MEO (MEIDOS); ubiquitin-protein ligase
257550_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G18450.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO68031.1); contains InterPro domain Protein of unknown function Cys-rich (InterPro:IPR006461)
260249_s_at,[AT1G74280_ hydrolase_ alpha/beta fold family protein];[AT1G74290_ esterase/lipase/ Thioesterase family protein]
265148_at,synbindin_ putative
255024_at,unknown protein
266694_at,clathrin adaptor complex small chain family protein
255463_at,transposable element gene
263163_at,FZL (FZO-LIKE); GTP binding / GTPase/ thiamin-phosphate diphosphorylase
258481_at,ATLPP3/LPP3 (LIPID PHOSPHATE PHOSPHATASE 3); phosphatidate phosphatase
257522_at,yippee family protein
261665_at,glycosyl hydrolase family 81 protein
265798_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO68985.1)
249675_at,jacalin lectin family protein
260794_at,VHS domain-containing protein / GAT domain-containing protein
260975_at,leucine-rich repeat family protein / protein kinase family protein
262616_at,2-oxoglutarate-dependent dioxygenase_ putative
254037_at,ATGDU2 (ARABIDOPSIS THALIANA GLUTAMINE DUMPER 2)
245488_at,peroxidase 40 (PER40) (P40)
260900_s_at,[AT1G21400_ 2-oxoisovalerate dehydrogenase_ putative / 3-methyl-2-oxobutanoate dehydrogenase_ putative / branched-chain alpha-keto acid dehydrogenase E1 alpha subunit_ putative];[AT5G34780_ dehydrogenase E1 component family protein]
254638_at,transcription termination factor
255134_at,Identical to Uncharacterized protein At4g08330_ chloroplast precursor [Arabidopsis Thaliana] (GB:Q9STN5); similar to peptide-methionine-(S)-S-oxide reductase [Arabidopsis thaliana] (TAIR:AT2G17705.1); similar to unknown [Populus trichocarpa] (GB:ABK94339.1)
250988_at,UPL4 (ubiquitin-protein ligase 4)
265531_at,AtGRF6 (GROWTH-REGULATING FACTOR 6)
257201_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G14120.1); similar to hypothetical protein OsI_000016 [Oryza sativa (indica cultivar-group)] (GB:EAY72169.1); similar to Os01g0101800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001041745.1)
265816_s_at,[AT1G30230_ elongation factor 1-beta / EF-1-beta];[AT2G18110_ elongation factor 1-beta_ putative / EF-1-beta_ putative]
261004_at,beta-1_3-glucanase-related
258279_at,self-incompatibility protein-related
254525_at,DNAJ heat shock N-terminal domain-containing protein
253141_at,CLC-E (CHLORIDE CHANNEL E); voltage-gated chloride channel
262761_at,BSD domain-containing protein
256577_at,meprin and TRAF homology domain-containing protein / MATH domain-containing protein
253247_at,BLH6 (BELL1-LIKE HOMEODOMAIN 5); DNA binding / transcription factor
257655_at,high mobility group (HMG1/2) family protein / ARID/BRIGHT DNA-binding domain-containing protein
250981_at,lectin protein kinase family protein
248222_at,RabGAP/ TBC domain-containing protein
249365_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G27420.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN82033.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14664.1)
245234_at,AtMYB18 (myb domain protein 18); DNA binding / transcription factor
261876_at,pirin_ putative
251785_at,ATWBC19 (WHITE-BROWN COMPLEX HOMOLOG 19); ATPase_ coupled to transmembrane movement of substances
266898_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO39632.1); contains domain HAD-like (SSF56784)
266011_at,endonuclease/exonuclease/phosphatase family protein
251285_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G67600.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14376.1); contains InterPro domain Acid phosphatase/vanadium-dependent haloperoxidase related (InterPro:IPR003832)
245521_at,ESD4 (EARLY IN SHORT DAYS 4); cysteine-type peptidase
245033_at,disease resistance protein-related / LRR protein-related
246686_at,transposable element gene
261508_at,similar to unknown [Brassica rapa] (GB:ABL97948.1)
247253_at,glycosyl hydrolase family 17 protein
247943_at,macrophage migration inhibitory factor family protein / MIF family protein
264800_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G30690.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO70635.1); contains InterPro domain Protein of unknown function DUF593 (InterPro:IPR007656)
258730_at,ATFP8 (Arabidopsis Rab GTPase homolog D1); GTP binding
259815_at,similar to MBD10 (methyl-CpG-binding domain 10)_ DNA binding [Arabidopsis thaliana] (TAIR:AT1G15340.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO63952.1)
256901_at,transposable element gene
260792_at,pentatricopeptide (PPR) repeat-containing protein
259544_at,CAT3 (CATALASE 3); catalase
267443_at,similar to glycine-rich protein [Arabidopsis thaliana] (TAIR:AT4G21620.1); similar to hypothetical protein OsI_037979 [Oryza sativa (indica cultivar-group)] (GB:EAY84020.1); similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABA99958.1); contains InterPro domain 4-disulphide core (InterPro:IPR015874)
252588_at,RNA recognition motif (RRM)-containing protein
263081_at,BLH5 (BELL1-LIKE HOMEODOMAIN 5); DNA binding / transcription factor
260181_at,AtGH9B1 (ARABIDOPSIS THALIANA GLYCOSYL HYDROLASE 9B1); hydrolase_ hydrolyzing O-glycosyl compounds
264052_at,CYP79B3 (cytochrome P450_ family 79_ subfamily B_ polypeptide 3); oxygen binding
250391_at,transposable element gene
247435_at,ATGSTU9 (GLUTATHIONE S-TRANSFERASE TAU 9); glutathione transferase
264743_at,pseudogene_ protein kinase family_ similar to light repressible receptor protein kinase (LRRPK) (Arabidopsis thaliana) GI:1321686; contains Pfam profiles PF02536: mTERF_  PF00069: Protein kinase domain_ PF00560: Leucine Rich Repeat; blastp match of 38% identity and 1.7e-162 P-value to GP|9837280|gb|AAG00510.1||AF285172 leaf senescence-associated receptor-like protein kinase {Phaseolus vulgaris}
251367_at,SKIP4 (SKP1 INTERACTING PARTNER 4)
262832_s_at,[AT1G14870_ Identical to Uncharacterized protein At1g14870 [Arabidopsis Thaliana] (GB:Q9LQU4); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G35525.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO42338.1); contains InterPro domain Aspartic acid and asparagine hydroxylation site (InterPro:IPR000152); contains InterPro domain Protein of unknown function Cys-rich (InterPro:IPR006461)];[AT1G14880_ similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G14870.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO42338.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO42335.1); contains InterPro domain Protein of unknown function Cys-rich (InterPro:IPR006461)]
255747_s_at,[AT1G32010_ myosin heavy chain-related];[AT5G38190_ myosin heavy chain-related]
254582_at,disease resistance protein-related
253282_at,LEJ1 (LOSS OF THE TIMING OF ET AND JA BIOSYNTHESIS 1)
260095_at,nascent polypeptide-associated complex (NAC) domain-containing protein
256482_at,leucine-rich repeat transmembrane protein kinase_ putative
259174_at,UNE7 (unfertilized embryo sac 7); acetylglucosaminyltransferase/ transferase_ transferring glycosyl groups
256075_at,ATMPK8 (ARABIDOPSIS THALIANA MAP KINASE 8); MAP kinase
245404_at,tRNA/rRNA methyltransferase (SpoU) family protein
266302_at,EIL1 (ETHYLENE-INSENSITIVE3-LIKE 1); transcription factor
262011_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G35500.1)
247297_at,peroxidase_ putative
262766_at,SDA1 family protein
253434_at,AKT5 (Arabidopsis K+ transporter 5); cyclic nucleotide binding / inward rectifier potassium channel
255334_at,transposable element gene
259059_at,eukaryotic translation initiation factor 2B family protein / eIF-2B family protein
245192_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G67270.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO68021.1); contains InterPro domain DDT (InterPro:IPR004022)
257577_at,transposable element gene
245487_at,PHYD (PHYTOCHROME DEFECTIVE D); G-protein coupled photoreceptor/ signal transducer
259578_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G52420.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41629.1)
258984_at,DNAJ heat shock N-terminal domain-containing protein
259256_at,emp24/gp25L/p24 family protein
251395_at,FLA8 (Arabinogalactan protein 8)
249445_at,calmodulin-binding protein-related
262898_at,binding
254527_at,RNA binding
249432_at,similar to pre-mRNA cleavage complex family protein [Arabidopsis thaliana] (TAIR:AT3G04680.2); similar to pre-mRNA cleavage complex family protein [Arabidopsis thaliana] (TAIR:AT3G04680.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14899.1); contains InterPro domain Pre-mRNA cleavage complex II Clp1 (InterPro:IPR010655)
260241_at,CYP86A7 (cytochrome P450_ family 86_ subfamily A_ polypeptide 7); oxygen binding
259026_at,protein kinase-related
257846_at,transcription factor
265958_at,ADK/ATPADK1 (ADENOSINE KINASE); adenylate kinase/ nucleotide kinase
258376_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G48405.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN67913.1); contains InterPro domain KIP1-like (InterPro:IPR011684)
254310_at,Identical to Putative F-box/Kelch-repeat protein At4g22430 [Arabidopsis Thaliana] (GB:Q1PE57;GB:Q9SUX6); similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT3G26010.1)
